Count;FullName
10,09;Cредство чистящее  универсальное Пемолюкс 480 гр
10,09;USB-ключ электронный JaCarta PKI
10,09;Автомобиль ЗАЗ 1102
10,09;Бейдж со шнурком 110х80мм
10,09;Блок системный Pro-Mega W217
10,09;Вентилятор канальный ACF 315
10,09;Вентилятор канальный круглый CF 315S
10,09;Витрина  1000х200х1700
10,09;Дальномер Leica DISTO D2 ЛАЗЕРНЫЙ
10,09;ИБП (Тип1)-АРС Back-UPS BX650CI-RS
10,09;ИБП (Тип2)-IPPON Smart Winner 2000
10,09;Картридж Golden Print CF381A
10,09;Колер краска унивверсальная Текс 0,75л
10,09;Колесо измерительное
10,09;Компьютер персональный тип первый HP ZERO t 3 10 AIO
10,09;Компьютер планшетный №1Samsung Galaxy Tab S2 SM-T819
10,09;Модуль памяти SODIMM Kingston KVR16S11/8
10,09;Мыло жидкое универсальное ТОПАЗ (уп.5л)
10,09;Пресс-клещи ручные SHTOK ПК-4вт (набор)
10,09;Принтер цифр/цветной сканер сетевой SHARP AR-5620N A3
10,09;Пушка тепловая  BALLU  BHP-P-3
10,09;Ролик прикатной 38*3 мм
10,09;"Смарт-терминал ""Эвотор 7.3  (без ФН)"
10,09;Средство концентриров. универс. для любых типов поверхностей Клинмастер (1л)
10,09;"Средство концентрированное моющее ""ТОРНАДО"""
10,09;"Стартер ""Philips"" S2 4-22W 110-240V для ламп"
10,09;"Стенд ""Безопасность работ на высоте"" (пластик 10мм,900*1000мм)"
10,09;"Стенд ""Безопасность труда при работе с электроинструментом и ручным слесарным инструментом "" (пласт"
10,09;"Стенд ""Безопасность труда при сварочных работах "" (пластик 10мм,1000*1200мм)"
10,09;"Стенд ""Первая медицинская помощь"" (пластик 10мм,1200*1000мм)"
10,09;"Стенд ""Уголок по охране труда для офиса (пластик 10мм, 1400*1000мм)"
10,09;"Стенд ""Уголок по охране труда для производства""( пластик 10 мм,1600*1000мм)"
10,09;Тумба для оргтехники 800*600*640
10,09;Тумба приставная 3-ящ. 435х596х745
10,09;"Ударный пневмогайковерт грузовой ""1"""
10,09;Устройство пуско-зарядное Т1020
10,09;Утюг электрический мощ 2200 Вт материал подошвы-керамика
10,09;Фильтр сетевой Pilot-L 3м, 5 гнезд
10,09;Холодильник бытовой общий объем 93л Shivaki
10,09;Часы настенные 290х40х290
10,09;Экран  настольный 1400х18х400
10,09;"""Блок распределения питания Hyperline	 для 19"""" шкафов"
10,09;"""ЖК Монитор 24”	HP	E241i"""
10,09;"""Неттоп iRU 116 SL C-70"""
10,09;"""Полка для шкафа 19""""	RACK5	SA.9103.001"""
10,09;"""Прогресс люкс"" м/с, универсальн. 1л."
10,09;"""Прогресс"" м/с 1л"
10,09;"""Прогресс"" м/с универсальное ,1л"
10,09;"""Прогресс"" м/с универсальное, 1л"
10,09;"""Прогресс"" м/с универсальное, 1л"
10,09;"""Прогресс"" м/с универсальное."
10,09;"""Прогресс"" м/с универсальное."
10,09;"""Прогресс"" м/с универсальное. ,1л"
10,09;"""Прогресс"",м/с универсальное,1л"
10,09;"""Прогресс""м/с универсальное,1л"
10,09;"""Сканер штрих-кодов	Honeywell (Metrologic)	1250g Lite"""
10,09;"""Телефонный аппарат 	Yealink	SIP-T26P"
10,09;"""Удлинитель HDMI over IP    Mobidick    VLC3ET73"""
10,09;14-34 Круг отрезной 125х1,6х22
10,09;1СЦ (строп цепной одноветв.) 1,5т/1500мм
10,09;1СЦ (строп цепной одноветв.) 3,15т/1000мм
10,09;1СЦ (строп цепной одноветв.) 3,15т/3000мм
10,09;1СЦ (строп цепной одноветвевой) 3,15т/2500мм
10,09;1СЦ (строп цепной одноветвевой) 3,15т/3000мм
10,09;1СЦ (строп цепной одноветвевой) 3,15т/4000мм
10,09;2163 Электродержатель ЭД-31     322-03
10,09;2235 Знак аварийной остановки н/о     257-63
10,09;2353/1 Устройство охлаждения (кулер) универсальный
10,09;2387 Ключ гаечный накидной
10,09;2412 Кисть круглая 50 мм     83-90
10,09;2423 Коннектор
10,09;2763 Огнетушитель ОП-2  автомоб.   322-03
10,09;28-13 Резак ацетиленовый Р2А-01 (1,2,3)
10,09;28-16 Горелка ацетиленовая (Малютка)
10,09;2924 Редуктор пропановый БПО -5МГ    1295-59
10,09;2СЦ (строп цепной двухветв.) 1,6т/1000мм
10,09;2СЦ (строп цепной двухветв.) 2,8т/2000мм
10,09;2СЦ (строп цепной двухветв.) 2,8т/2000мм
10,09;2СЦ (строп цепной двухветв.) 2,8т/3000мм
10,09;2СЦ (строп цепной двухветв.) 4,3т/2000мм
10,09;3/4 вороток Т-обр 20 500мм
10,09;3401 Ведро оцинкованное 12 л     92-37
10,09;3401 Ведро оцинкованное 12 л     97-46
10,09;3401 Ведро оцинковонное
10,09;3401 Грабли веерные     85-76
10,09;3402 Ведро пластик 12 л     71-41
10,09;3403 Бидон пластик.40 л     801-69
10,09;3404 Веник
10,09;3404 Веник     63-56
10,09;"3404 Веник ""Люкс""     81-38"
10,09;3405 Грабли веерные 332-20
10,09;3407 Ножницы арматурные
10,09;3408 Движок дюрал.3-х бортный     683-16
10,09;3408 Движок дюралевый 3-х борт.500х380мм     395-00
10,09;3408 Движок дюраль 3-бортн. 500х375     441-86
10,09;3408 Движок трехбортный 500х380   304-24
10,09;3409 Движок дюраль с П ручкой 750х500     900-74
10,09;3409 Движок стальн. с П-образ.ручкой 1060х530 мм      793-22
10,09;3409 Движок стальной     1142-89
10,09;3410 Контейнер для мусора
10,09;3411 Заклепочник 600 мм     811-58
10,09;3411 Заклепыватель ручной     682-00
10,09;3411/1 Заклепочник поворотный 250 мм     737-29
10,09;3412 Корзина для бумаг     65-02
10,09;3414 Каска              91-66
10,09;3414 Каска строительная     129-30
10,09;3415 Ледоруб-топор     275-43
10,09;3415 Ледоруб-топор     304-24
10,09;3415 Ледоруб-топор     304-24
10,09;3416 Ледоруб на топоре с мет.черенком     525-73
10,09;3417 Лом строительный 1300 мм     460-51
10,09;3418 Лопата дюраль 500х375 3х бортная
10,09;3419 Лопата          107-95
10,09;3419 Лопата ЛС оцинкован. 355х380     140-39
10,09;3419 Лопата совковая     109-32
10,09;3419 Лопата совковая     121-19
10,09;3420 Лопата совковая,штыковая     75-42
10,09;3421 Скребок для удаления снега с крыш ПО     1038-13
10,09;3422 Скребок д/уборки снега с телескоп.ручкой  1440-68
10,09;3422 Скребок с метал.ручкой 200х1200     264-41
10,09;3424 Метла плоская широкая    79-66
10,09;3424 Метла уличная плоск.     138-53
10,09;3425 Скребок на ручке 25 см     536-27
10,09;3426 Супер сгон 35 см      444-40
10,09;3426 Супер сгон 35 см     594-08
10,09;3428 Совок контейнер ( цинк )     394-25
10,09;3429 Совок
10,09;3429 Совок для мусора     161-18
10,09;3430 Совок для мусора металлич.с длин.ручкой     84-08
10,09;3430 Совок металлич.     80-54
10,09;3432 Кювета для валика
10,09;3432 Кювета для валика
10,09;3433 Шпатель 300 мм
10,09;3434 Гвоздодер 800 мм
10,09;3435 Кувалда 4,0 кг      277-97
10,09;3436 Кувалда 1 кг     466-10
10,09;3436 Кувалда 1,0 кг          149-00
10,09;3437 Трубогиб        33-33
10,09;3439 Щетка металлич.     32-35
10,09;3439 Щетка по металлу     73-73
10,09;3440 Щетка для подметания     69-99
10,09;3441 Щетка сметка    31-32
10,09;3441 Щетка-сметка     30-39
10,09;3443 Стусло 300х100 мм + пила 400 мм
10,09;3487 Молоток отбойный
10,09;4-х секционное кресло
10,09;4381 Чехол д/фотоаппарата
10,09;4СЦ (строп цепной четырехветв.) 3,2т/2000мм
10,09;4СЦ (строп цепной четырехветв.) 3,2т/3000мм
10,09;4СЦ (строп цепной четырехветв.) 4,3т/1000мм
10,09;4СЦ (строп цепной четырехветв.) 4,3т/3000мм
10,09;4СЦ (строп цепной четырехветв.) 4,3т/3000мм
10,09;4СЦ (строп цепной четырехветв.) 6,7т/3500мм
10,09;"5003 Кресло "" Q- 65 "" черный     12118-65"
10,09;5004 Стояк открытый ОУ-1
10,09;5007 Набор мебели
10,09;5007/1 Подставка под блок компьютерный
10,09;5008 Телефон Gigaset А 420
10,09;5010 Принтер НР LaserJet 16 Мб
10,09;5011 Принтер НР LaserJet 2 Мб
10,09;5014 Фотоаппарат Canon PowerShot
10,09;5016 Компьютер в сборе
10,09;5019 Пушка тепловая СФщ-9М (электрокалорифер)
10,09;5020 Часы настенные (2015)
10,09;5021 Сушилка электрическая
10,09;5028 Флаг Победы
10,09;5029 Щит информационный М-1
10,09;5030 Щит информационный Б-1
10,09;5057 Кулер д/воды(2015)
10,09;CC489A - Принтер HPColor LaserJet Enterprise CP4025n (A4? 1200dpi, 35(35)ppm, 512Mb, 2trays 500+100
10,09;Cloud Router Switch 125-24G-1S-IN (RouterOS L5), настольный форм-фактор
10,09;"Comforte 1.0 ЭВНА-1,0/230С2 электроконвектор марки ""Neoclima"" 1 кВт"
10,09;"Comforte 2.0 ЭВНА -2,0/230С2 (сш) электроконвектор марки ""Neocima"", 2 кВт"
10,09;Cалфетка универсальная 30х38см(зшт.в упаковке)
10,09;Cветильник точечный R-50 белый
10,09;Cистемный блок Lenovo Desktop TC M83
